Year,State,Number,Population,Longitude,Latitude
2014,New South Wales,261340,7562171,147.2869493,-31.8759835
2014,Victoria,222641,5957512,"144.6780052	",-36.5986096
2014,Queensland,180847,4747263,144.5844903,-22.1646782
2014,South Australia,67625,1693107,135.6301212,-30.5343665
2014,Western Australia,163828,2528619,"121.01872460000001	",-25.2303005
2014,Tasmania,16144,514040,"146.6366887	",-42.035067
2014,Northern Territory,14654,242753,132.550964,-19.491411
2014,Australian Capital Territory,14705,391981,149.012375,-35.473469
2015,New South Wales,250129,7671401,147.2869493,-31.8759835
2015,Victoria,242213,6093049,"144.6780052	",-36.5986096
2015,Queensland,179658,4804933,144.5844903,-22.1646782
2015,South Australia,69714,1705937,135.6301212,-30.5343665
2015,Western Australia,198730,2547745,"121.01872460000001	",-25.2303005
2015,Tasmania,16619,515694,"146.6366887	",-42.035067
2015,Northern Territory,14542,244090,132.550964,-19.491411
2015,Australian Capital Territory,17368,398874,149.012375,-35.473469
2016,New South Wales,244727,7795625,147.2869493,-31.8759835
2016,Victoria,276339,6235781,"144.6780052	",-36.5986096
2016,Queensland,197052,4882939,144.5844903,-22.1646782
2016,South Australia,74598,1719580,135.6301212,-30.5343665
2016,Western Australia,176132,2569606,"121.01872460000001	",-25.2303005
2016,Tasmania,14680,521981,"146.6366887	",-42.035067
2016,Northern Territory,15526,246065,132.550964,-19.491411
2016,Australian Capital Territory,15637,408878,149.012375,-35.473469
2017,New South Wales,217000,7900946,147.2869493,-31.8759835
2017,Victoria,234841,6358210,"144.6780052	",-36.5986096
2017,Queensland,218335,4960965,144.5844903,-22.1646782
2017,South Australia,67890,1735654,135.6301212,-30.5343665
2017,Western Australia,163310,2599928,"121.01872460000001	",-25.2303005
2017,Tasmania,16387,531561,"146.6366887	",-42.035067
2017,Northern Territory,16351,246862,132.550964,-19.491411
2017,Australian Capital Territory,16865,420226,149.012375,-35.473469
2018,New South Wales,254980,8003564,147.2869493,-31.8759835
2018,Victoria,219673,6479695,"144.6780052	",-36.5986096
2018,Queensland,227042,5046434,144.5844903,-22.1646782
2018,South Australia,74931,1755715,135.6301212,-30.5343665
2018,Western Australia,163278,2636404,"121.01872460000001	",-25.2303005
2018,Tasmania,14650,542927,"146.6366887	",-42.035067
2018,Northern Territory,17795,245920,132.550964,-19.491411
2018,Australian Capital Territory,14929,430758,149.012375,-35.473469
2019,New South Wales,232717,8088361,147.2869493,-31.8759835
2019,Victoria,246205,6590050,"144.6780052	",-36.5986096
2019,Queensland,245623,5129741,144.5844903,-22.1646782
2019,South Australia,85942,1778928,135.6301212,-30.5343665
2019,Western Australia,166378,2688799,"121.01872460000001	",-25.2303005
2019,Tasmania,16535,553340,"146.6366887	",-42.035067
2019,Northern Territory,16957,246213,132.550964,-19.491411
2019,Australian Capital Territory,15906,440267,149.012375,-35.473469
2020,New South Wales,177543,8094300,147.2869493,-31.8759835
2020,Victoria,200906,6567195,"144.6780052	",-36.5986096
2020,Queensland,205447,5184329,144.5844903,-22.1646782
2020,South Australia,66097,1794514,135.6301212,-30.5343665
2020,Western Australia,110854,2728187,"121.01872460000001	",-25.2303005
2020,Tasmania,12980,561881,"146.6366887	",-42.035067
2020,Northern Territory,14034,247819,132.550964,-19.491411
2020,Australian Capital Territory,12672,447650,149.012375,-35.473469
2021,New South Wales,177094,8101223,147.2869493,-31.8759835
2021,Victoria,189807,6566092,"144.6780052	",-36.5986096
2021,Queensland,216840,5261012,144.5844903,-22.1646782
2021,South Australia,69806,1805733,135.6301212,-30.5343665
2021,Western Australia,123387,2763015,"121.01872460000001	",-25.2303005
2021,Tasmania,13543,568628,"146.6366887	",-42.035067
2021,Northern Territory,16824,248125,132.550964,-19.491411
2021,Australian Capital Territory,13549,452670,149.012375,-35.473469
2022,New South Wales,193083,8248249,147.2869493,-31.8759835
2022,Victoria,195219,6717414,"144.6780052	",-36.5986096
2022,Queensland,252510,5386543,144.5844903,-22.1646782
2022,South Australia,70170,1835948,135.6301212,-30.5343665
2022,Western Australia,128655,2834886,"121.01872460000001	",-25.2303005
2022,Tasmania,15217,572647,"146.6366887	",-42.035067
2022,Northern Territory,32539,251320,132.550964,-19.491411
2022,Australian Capital Territory,12801,461192,149.012375,-35.473469
2023,New South Wales,2420695,8428215,147.2869493,-31.8759835
2023,Victoria,233800,6903901,"144.6780052	",-36.5986096
2023,Queensland,283997,5527248,144.5844903,-22.1646782
2023,South Australia,79427,1866388,135.6301212,-30.5343665
2023,Western Australia,134965,2928484,"121.01872460000001	",-25.2303005
2023,Tasmania,19496,574717,"146.6366887	",-42.035067
2023,Northern Territory,14790,253815,132.550964,-19.491411
2023,Australian Capital Territory,12207,470018,149.012375,-35.473469
